ID,cluster,label
ZINCdq000000BhUs,cluster_0156,c_0156_001
ZINCcm0000002hUS,cluster_0157,c_0157_001
ZINCcp0000002m6j,cluster_0158,c_0158_001
ZINCck0000002lQd,cluster_0159,c_0159_001
ZINCcm0000002djj,cluster_0160,c_0160_001
ZINCct0000000s88,cluster_0161,c_0161_001
ZINCc50000001Eij,cluster_0162,c_0162_001
ZINCc50000001EiM,cluster_0163,c_0163_001
ZINCcb0000001F7s,cluster_0164,c_0164_001
ZINCc60000002v03,cluster_0165,c_0165_001
ZINCc80000001EIO,cluster_0166,c_0166_001
ZINCce0000002AcY,cluster_0167,c_0167_001
ZINCcg0000001G1F,cluster_0168,c_0168_001
ZINCce00000025YK,cluster_0169,c_0169_001
ZINCc60000001Exg,cluster_0170,c_0170_001
ZINCca0000002uO5,cluster_0171,c_0171_001
ZINCc50000001E5H,cluster_0172,c_0172_001
ZINCcj0000002b5e,cluster_0173,c_0173_001
ZINCca0000002tEQ,cluster_0174,c_0174_001
ZINCch0000002l7e,cluster_0175,c_0175_001
ZINCch0000000CSy,cluster_0176,c_0176_001
ZINCcn0000002sIU,cluster_0177,c_0177_001
ZINCcn0000002sUt,cluster_0178,c_0178_001
ZINCck0000001GXk,cluster_0179,c_0179_001
ZINCcl0000002HZv,cluster_0180,c_0180_001
ZINCcj0000001GJM,cluster_0181,c_0181_001
ZINCc80000001EJf,cluster_0182,c_0182_001
ZINCbi0000001RDM,cluster_0183,c_0183_001
ZINCbd0000002IoN,cluster_0184,c_0184_001
ZINCb60000002za2,cluster_0185,c_0185_001
ZINCbh0000001Dhi,cluster_0186,c_0186_001
ZINCbf0000002vSD,cluster_0187,c_0187_001
ZINCbm0000002CbM,cluster_0188,c_0188_001
ZINCbe0000002lvR,cluster_0189,c_0189_001
ZINCb80000002k4A,cluster_0190,c_0190_001
ZINCbk0000002m4e,cluster_0191,c_0191_001
ZINCbl0000002CbL,cluster_0192,c_0192_001
ZINCbe0000002rrY,cluster_0193,c_0193_001
ZINCbj0000002oFX,cluster_0194,c_0194_001
ZINCbe0000001D72,cluster_0195,c_0195_001
ZINCb90000001CMB,cluster_0196,c_0196_001
ZINCb50000001CxP,cluster_0197,c_0197_001
ZINCb60000001CGe,cluster_0198,c_0198_001
ZINCb60000001CG4,cluster_0199,c_0199_001
ZINCba0000001CQO,cluster_0200,c_0200_001
ZINCb70000001NMW,cluster_0201,c_0201_001
ZINCbl0000002hPp,cluster_0202,c_0202_001
ZINCbh0000001QZj,cluster_0203,c_0203_001
ZINCb50000001MKw,cluster_0204,c_0204_001
ZINCbo0000001Tdu,cluster_0205,c_0205_001
ZINCbf0000002vTE,cluster_0206,c_0206_001
ZINCbh0000002LkD,cluster_0207,c_0207_001
ZINCbl0000002jIR,cluster_0208,c_0208_001
ZINCbj0000002oG3,cluster_0209,c_0209_001
ZINCbr0000000FFB,cluster_0210,c_0210_001
ZINCbh0000001RfY,cluster_0211,c_0211_001
ZINCbj0000001RIA,cluster_0212,c_0212_001
ZINCbf0000002Id7,cluster_0213,c_0213_001
ZINCb70000001O1B,cluster_0214,c_0214_001
ZINCbe0000002xWW,cluster_0215,c_0215_001
ZINCa50000002TlY,cluster_0216,c_0216_001
ZINCa80000002z5R,cluster_0217,c_0217_001
ZINCa70000002IwC,cluster_0218,c_0218_001
ZINCa50000001eqb,cluster_0219,c_0219_001
ZINCaa0000002CWa,cluster_0220,c_0220_001
ZINCa50000002y4a,cluster_0221,c_0221_001
ZINCaf0000001CdD,cluster_0222,c_0222_001
